Gene,F_score,p_value,p_value_FDR,Rejected_FDR_0.05
UGT2B4,726.56350691654,0.0,0.0,True
OTC,725.9366488040858,0.0,0.0,True
IGSF9,721.975400455799,0.0,0.0,True
ST6GALNAC1,721.3689327096739,0.0,0.0,True
IRX4,720.4283279560967,0.0,0.0,True
NECTIN1,719.0967500947916,0.0,0.0,True
GPRC5A,718.5021127113955,0.0,0.0,True
SOX17,716.7320039930189,0.0,0.0,True
SERPIND1,716.4139090124705,0.0,0.0,True
STYK1,715.140104693563,0.0,0.0,True
OTX1,714.3219129311888,0.0,0.0,True
TPX2,710.4399975478553,0.0,0.0,True
CYP2C18,707.8985772658691,0.0,0.0,True
HKDC1,707.4479792236019,0.0,0.0,True
LCE3D,706.8303565285921,0.0,0.0,True
BHMT,706.2592235889794,0.0,0.0,True
PGLYRP3,703.5365506714082,0.0,0.0,True
CDC20,702.5369584120288,0.0,0.0,True
C8B,702.0531200303685,0.0,0.0,True
TROAP,701.3162963931071,0.0,0.0,True
CLCA2,700.5872196454997,0.0,0.0,True
SLC4A4,698.2573318356715,0.0,0.0,True
PKP1,698.0525208541629,0.0,0.0,True
GJB6,697.5395787005484,0.0,0.0,True
TTR,695.5179020834881,0.0,0.0,True
DSC3,694.959486496777,0.0,0.0,True
LECT2,692.7324972883732,0.0,0.0,True
MYBL2,691.0762379661444,0.0,0.0,True
SLC39A5,690.6273480492889,0.0,0.0,True
EPB41L4B,688.1147827576126,0.0,0.0,True
HHEX,688.000423332447,0.0,0.0,True
ALB,684.7990665609669,0.0,0.0,True
KIF14,681.1342925497635,0.0,0.0,True
MMP3,680.6999297518794,0.0,0.0,True
FABP1,680.0575101516922,0.0,0.0,True
CLDN2,679.9923809098555,0.0,0.0,True
FOXA2,679.49010049383,0.0,0.0,True
TTC6,677.5498428232414,0.0,0.0,True
SKA3,677.1130591539567,0.0,0.0,True
GALNT6,677.0203693972537,0.0,0.0,True
DUOX2,676.9362255437376,0.0,0.0,True
ALDOB,676.2273152180709,0.0,0.0,True
CRABP2,675.9377105561799,0.0,0.0,True
CITED1,674.8478089172874,0.0,0.0,True
SI,673.9302103399733,0.0,0.0,True
NAPSA,673.8813035838098,0.0,0.0,True
ACADL,673.8543557733027,0.0,0.0,True
C4BPB,673.562337474041,0.0,0.0,True
NUF2,672.6518872286993,0.0,0.0,True
DLGAP5,672.439557798365,0.0,0.0,True
SLC2A1,670.6513123412162,0.0,0.0,True
LMO3,669.6178622784248,0.0,0.0,True
SLC22A7,669.4971478899456,0.0,0.0,True
HHLA2,668.1743220688782,0.0,0.0,True
IL1A,667.1810386782955,0.0,0.0,True
SCGB2A2,667.1776189688734,0.0,0.0,True
NCAPH,666.7401471342894,0.0,0.0,True
LIPC,666.5126820121318,0.0,0.0,True
HRG,664.5315960060698,0.0,0.0,True
BIRC5,664.1144346591698,0.0,0.0,True
PLA2G12B,663.2971859908084,0.0,0.0,True
ANLN,663.0630206448338,0.0,0.0,True
HYAL1,662.8296200621945,0.0,0.0,True
PKMYT1,661.8588558077452,0.0,0.0,True
SPRR2G,661.4728554292368,0.0,0.0,True
ARG1,661.2404933711902,0.0,0.0,True
CDH6,661.2067770554048,0.0,0.0,True
POLQ,661.1457462725535,0.0,0.0,True
TBX3,660.7322184070072,0.0,0.0,True
MYB,660.5530647281835,0.0,0.0,True
AUNIP,659.5347047145169,0.0,0.0,True
CENPF,659.0287380559134,0.0,0.0,True
PLG,657.9582029535262,0.0,0.0,True
SLCO1B1,656.7001476998455,0.0,0.0,True
USH1C,656.6771733544075,0.0,0.0,True
