AIG1	4310.633501529137
CACUL1	3432.074274394089
APOBEC2	3173.4163545878837
ABCB6	2859.932864679148
APOA4	2810.488111289637
CDK20	2687.327074353842
ACIN1	2530.8830821760234
CCL22	2522.6277630053496
CCL24	2323.9703231427907
BRPF1	2283.9598904095037
CCNI	2267.1096745847617
CCL25	2105.1784530685095
BEST3	2095.5777631624014
B9D2	2054.6714436156135
AIMP2	1951.5466387094095
CCDC32	1902.3667684616469
CCN1	1860.3590122993917
BTF3	1846.7795104550191
CFAP107	1843.4326208827672
ADNP2	1811.0037617721598
ABHD14B	1806.487827303702
ACOT7	1780.245749412449
ACMSD	1779.5266031768888
BPHL	1763.9324278091328
ATAD1	1762.10446750994
CEP350	1740.5064471611677
CCDC24	1702.4539247900705
C16orf92	1701.3432175695284
ATP7B	1672.5120358020597
CFAP141	1665.7646386412143
CDKN1C	1636.0172615579036
ABHD17B	1629.5736370782847
CD109	1618.6561366490876
ACO2	1602.7681217823433
CD99	1591.5710846100992
ADCY9	1583.835255706134
CCKBR	1581.1789740491702
AK3	1575.2378642114977
ABHD10	1565.8870035258044
ARPC1B	1558.4050834561297
ASCL1	1544.3800467974925
CCDC42	1542.3674354128461
CCL26	1535.9746590199134
CCNE1	1526.3820521205148
AGK	1486.084756907293
BUB3	1482.452338189051
CCT2	1476.093876183369
ABCB10	1475.457182726461
A1BG	1458.6801006597648
ARHGEF39	1440.0041688117628
CDX2	1438.148149528403
ARL3	1401.4288165696507
ABCA9	1400.2170835993068
CDCA7L	1395.678671093096
ACOT8	1388.1183386917644
CHN2	1364.4414228061396
ATL2	1358.6802664648128
ACTL8	1351.90711344381
ALG9	1345.4303344519376
ANKRD18CP	1337.2700378876714
AGAP2	1332.9776535229566
CFHR3	1328.8447398998014
ANGPT1	1324.4268907571497
BARX2	1322.9172900606568
ARFGEF1	1306.4940171806138
ASAP1	1295.3524109282844
ATXN3L	1291.0812698421653
CDO1	1286.564002051309
ANKRD44	1283.7812346314847
ACTL7B	1280.6131129522348
C5orf22	1273.8258426273185
BBS5	1271.1534805892472
CD72	1264.1805903203317
ADAD2	1254.9059055621217
BLOC1S1	1252.2197459007466
AMDHD1	1244.2482979606648
ARHGEF7	1237.0188625573508
ADAM8	1236.5042893473587
CENPL	1235.2873585836646
BRS3	1232.7255168416627
ARPC2	1226.7378873664773
CCN4	1224.163955384398
CCN6	1211.4160150066764
BUB1B	1198.8299371523728
ABRACL	1188.6561091421854
ATP8A2	1183.8282682529461
ACLY	1183.6870361779245
ARHGAP32	1171.6403722950147
CDKL1	1167.3543503913627
ADCYAP1	1167.2174738744584
ARHGEF16	1158.6918669678357
BORCS8-MEF2B	1154.0345249480506
ACACB	1144.4930034081158
CFAP263	1139.8882819325827
ABTB1	1136.394216516045
ANO10	1135.502610318581
ATM	1131.7895542944316
CDK15	1126.09662631307
CCR5	1121.2273622933933
CA2	1120.4272178485555
ASZ1	1117.2618990926514
ABR	1106.8131066261515
ALDOB	1095.049697331725
ACVRL1	1093.7175249500365
ALMS1P1	1092.0736959202795
CCR7	1090.1990335831013
CCDC116	1089.8739097815971
ABL2	1084.9657473067546
AMN	1081.949692257827
CEPT1	1077.8299989893474
APOBEC3H	1073.6156087382944
BABAM2	1065.3902329365033
BTBD2	1061.032381469097
ATP8A1	1058.723202819899
ASF1A	1057.0462668117668
ACP1	1056.6973182877582
CD207	1054.4545397097866
ABI1	1041.5739326603298
CCDC140	1033.9450839857154
CFAP144P1	1033.8455737179472
ALG10	1031.739482434663
CEP250	1027.473901947965
CDH6	1024.0086652419407
ATXN3	1021.6088978294018
BCL2L13	1019.9895013537484
C16orf89	1013.8893343199636
APEX1	1009.6323846301838
ARHGEF17	1005.6244413666191
CAP2	1002.3204655872148
CCDC33	999.3428372957904
BRD4	996.786356319655
ACOD1	993.9250502228449
CCDC141	991.6268503195482
C11orf58	990.3724535340556
ATIC	988.3812736001606
CEP20	987.8203599199029
APTX	982.6764307193317
CARD6	979.3282276991422
CDH8	978.7515382485582
CDADC1	978.2915859656524
ADAMDEC1	975.0518670793978
ACSBG2	971.1466435693227
